ListingKey,Term,BorrowerRate,ProsperRating (Alpha),IsBorrowerHomeowner,CreditScore
10273602499503308B223C1,36,0.092,A,False,689
0EF5356002482715299901A,36,0.0974,A,True,809
0F023589499656230C5E3E2,36,0.2085,D,True,689
0F05359734824199381F61D,60,0.1314,B,True,749
0F0A3576754255009D63151,36,0.2712,E,False,689
0F1035772717087366F9EA7,36,0.2019,C,False,709
0F043596202561788EA13D5,36,0.0629,AA,True,829
0F123545674891886D9F106,60,0.2489,C,False,649
0F1A3597143888805163EF7,36,0.1435,B,False,689
0F1C3583260311305D68F87,36,0.1034,A,True,749
0F353575943675863D1AFC0,60,0.0949,A,False,749
0F483544120452347F48121,36,0.3177,HR,True,709
0F4835843081468212F0892,60,0.2809,E,True,649
0FF2357105361877390B58D,36,0.0974,A,False,749
0FFC35866018516621B0D3F,60,0.2225,D,False,689
101635959323992333B3C70,36,0.1314,B,True,669
101735700321773921526BF,36,0.3134,HR,False,709
101B35764008108187B2EBA,36,0.2419,D,False,689
101B3596709094692AC79C0,36,0.162,C,True,669
10223590888942486E3826E,36,0.2629,E,False,689
0F4F3571508214190FD75CB,60,0.2809,E,False,669
0F5034867864161084F3789,36,0.092,A,True,709
0F53359346357513247D86B,36,0.166,C,True,729
0F563597161095613517437,36,0.1239,A,True,749
0F57353904771934596FE9F,36,0.0999,A,False,749
0F683558129866945165D36,36,0.3177,HR,False,689
0F683599787642317AE85C5,36,0.1274,B,True,669
0F6B3496936961316AEE1B2,36,0.0785,AA,False,769
0F6C3603015887476F3F015,36,0.192,C,True,649
1092353380565801709A4A2,36,0.1621,B,False,709
1092359520343159157D1AC,36,0.285,E,True,689
10993590382481129382160,36,0.2469,D,True,649
109A35861259973172F6548,36,0.0759,AA,True,809
10A43601079743929992413,60,0.1725,C,False,689
10A635483653880905FC2D6,60,0.2085,B,True,709
10B93591610781064F9C46B,36,0.176,C,False,649
0F823581900037042AC6A5E,36,0.1734,C,True,729
0F843574249889932A8662E,60,0.1099,A,True,749
0F8B3577039176552F6CC26,36,0.1299,A,True,689
0F923587782964897A58B1B,60,0.1519,B,True,729
0F9D3585166658459B9AC30,60,0.0949,A,True,789
0FA035965589061761C3D7A,60,0.215,D,True,649
0FA935298156996977CF764,36,0.1799,B,True,649
0FAA357428986754861A3E6,36,0.1153,A,True,729
0FA3356960850383539D362,36,0.2712,E,False,649
0FBC3556025226720BE6DD4,60,0.1852,B,True,729
0FC13592826344497AFB874,36,0.1399,B,False,669
0FD235896044348280704B9,36,0.187,C,False,689
0FEA35330893790885F63E8,36,0.2552,D,True,729
0FF735841515827770331DF,60,0.1519,B,False,729
101735933549003126EF74E,60,0.1695,C,True,709
10223596029543318E1A9FB,36,0.1274,B,True,669
0F1B35892502944590155D8,36,0.2699,E,True,689
0F1B3603414231556D2BFFD,36,0.1605,C,True,669
0F2535122339224397B0FB9,12,0.2669,E,False,609
0F37360159310530849DA23,60,0.1139,A,True,709
0F3835813277303416C07A2,36,0.2049,C,False,649
0DD23561917467486206661,36,0.3177,HR,True,769
0DDD3513251820967144478,36,0.2599,D,False,669
0DE83585214289256D08313,36,0.2272,D,True,709
0DEB351032566848818E832,36,0.3199,E,True,689
0DF535815829610812D7705,36,0.2859,E,False,669
0DFD35069860903300C7973,36,0.1099,B,True,769
0E193575764412056DAE671,36,0.2049,C,False,749
10503600874171217579DB4,36,0.2394,D,False,649
105B35621274435224BDC69,60,0.1,AA,False,789
10623584773904550935540,36,0.2932,E,False,609
1066354838733351352FBF8,36,0.2958,E,False,669
106735874092648468C4A6E,60,0.1984,C,True,769
106B3599263839928396A82,60,0.1875,C,True,669
1079360150757893206802F,36,0.1905,C,True,649
107D3547498442173689AFA,36,0.2999,E,True,649
10803531522293214B198DF,36,0.3199,HR,True,709
0FC235484386436481EDCB7,36,0.1768,B,False,669
0FD13502904293521146412,36,0.322,E,False,709
